"id_entrevista","id_candidatura","entrevistador","data_entrevista","nota","feedback"
"239","146","Luís Oliveira","2024-04-12","7.80","Entrevista de fit cultural. Perfil técnico bom, mas um pouco desalinhado com os valores de colaboração da empresa."
"240","157","Luís Oliveira","2024-06-05","8.00","Segunda entrevista. Aprofundamos em temas de priorização e métricas. Demonstrou bom conhecimento."
"241","158","Luís Oliveira","2024-03-14","8.20","Entrevista cultural. Boa comunicação e alinhamento com a cultura de engenharia."
"242","161","Luís Oliveira","2024-04-27","7.80","Segunda entrevista. Foco em resolução de problemas de rede. Desempenho mediano."
"243","164","Bruno Costa","2024-07-01","9.00","Entrevista com o gestor. Ficou impressionado com a capacidade analítica. Mover para próxima fase."
"244","165","Luís Oliveira","2024-04-05","8.40","Entrevista cultural. Perfil inovador e colaborativo. Aprovado nesta etapa."
"245","173","Igor Ramos","2024-07-05","9.80","Entrevista técnica com o time de arquitetura. Validação completa do conhecimento e experiência. Recomendo."
"246","180","Luís Oliveira","2024-02-28","9.00","Entrevista cultural. Perfil sênior, colaborativo e com foco em mentoria. Excelente."
"247","186","Luís Oliveira","2024-04-02","9.20","Entrevista cultural. Perfil mão na massa e com ótima comunicação. Aprovado."
"248","195","Luís Oliveira","2024-06-12","8.50","Entrevista cultural. Boa sinergia com o time comercial. Aprovado."
"249","202","Luís Oliveira","2024-05-28","8.90","Entrevista cultural. Visão de RH muito alinhada à nossa. Aprovado."
"250","209","Luís Oliveira","2024-05-19","8.80","Entrevista cultural. Perfil de liderança e foco no cliente. Aprovado."
