"id_candidatura","id_candidato","id_vaga","data_candidatura","origem","curriculo_texto","status_cand","experiencia_media_anos","contratado"
"241","241","6","2024-01-12","Catho","Técnico em Design de Interiores com experiência em projetos residenciais e comerciais.","triagem","3.00","0"
"242","242","1","2024-06-14","vagas.com","","triagem","0.00","0"
"243","243","12","2024-03-24","site","Antropólogo com doutorado, especialista em estudos de cultura organizacional e comportamento do consumidor.","contratado","11.00","1"
"244","244","8","2024-05-20","indicação","Gerente de Contas Estratégicas (Key Account Manager) para o setor de bens de consumo.","Entrevista RH","8.50","0"
"245","245","3","2024-02-18","linkedin","Desenvolvedor Web3 com experiência em Solidity e desenvolvimento de Smart Contracts na rede Ethereum.","entrevista","4.00","0"
"246","246","11","2024-06-07","site","Mestre de Dados (Data Master) focado em garantir a integridade e o uso estratégico dos dados da empresa.","recusado","10.00","0"
"247","247","2","2024-04-17","indicação","Arquiteto da Informação com experiência em organizar e estruturar conteúdo para grandes portais e intranets.","entrevista","5.50","0"
"248","248","6","2024-01-31","Catho","Técnico em Geoprocessamento com experiência em ArcGIS e QGIS.","triagem","2.00","0"
"249","249","1","2024-06-25","vagas.com","Em busca de recolocação profissional.","triagem",\N,"0"
"250","250","12","2024-03-02","site","Linguista Computacional com doutorado, especialista em Processamento de Linguagem Natural (PLN) e desenvolvimento de chatbots.","contratado","13.00","1"
