id_entrevista,id_candidatura,entrevistador,data_entrevista,nota,feedback,tempo_entrevista
235,113,Luís Oliveira,2024-06-06,7.5,Entrevista de fit cultural. Candidato demonstrou ser um pouco individualista para a dinâmica do nosso time.,433
236,119,Luís Oliveira,2024-06-27,8.0,"Segunda entrevista técnica. Conseguiu resolver o novo desafio, mostrando boa capacidade de aprendizado.",412
237,122,Gabriel Pereira,2024-04-09,6.0,Entrevista com o gestor. Candidata não demonstrou a proatividade necessária para a área.,491
238,133,Bruno Costa,2024-05-31,8.7,"Entrevista com o gestor. Gostou do perfil acadêmico, mas busca alguém com mais vivência de mercado.",439
239,146,Luís Oliveira,2024-04-12,7.8,"Entrevista de fit cultural. Perfil técnico bom, mas um pouco desalinhado com os valores de colaboração da empresa.",488
240,157,Luís Oliveira,2024-06-05,8.0,Segunda entrevista. Aprofundamos em temas de priorização e métricas. Demonstrou bom conhecimento.,434
241,158,Luís Oliveira,2024-03-14,8.2,Entrevista cultural. Boa comunicação e alinhamento com a cultura de engenharia.,517
242,161,Luís Oliveira,2024-04-27,7.8,Segunda entrevista. Foco em resolução de problemas de rede. Desempenho mediano.,473
243,164,Bruno Costa,2024-07-01,9.0,Entrevista com o gestor. Ficou impressionado com a capacidade analítica. Mover para próxima fase.,408
244,165,Luís Oliveira,2024-04-05,8.4,Entrevista cultural. Perfil inovador e colaborativo. Aprovado nesta etapa.,495
245,173,Igor Ramos,2024-07-05,9.8,Entrevista técnica com o time de arquitetura. Validação completa do conhecimento e experiência. Recomendo.,404
246,180,Luís Oliveira,2024-02-28,9.0,"Entrevista cultural. Perfil sênior, colaborativo e com foco em mentoria. Excelente.",532
247,186,Luís Oliveira,2024-04-02,9.2,Entrevista cultural. Perfil mão na massa e com ótima comunicação. Aprovado.,498
248,195,Luís Oliveira,2024-06-12,8.5,Entrevista cultural. Boa sinergia com o time comercial. Aprovado.,427
249,202,Luís Oliveira,2024-05-28,8.9,Entrevista cultural. Visão de RH muito alinhada à nossa. Aprovado.,442
250,209,Luís Oliveira,2024-05-19,8.8,Entrevista cultural. Perfil de liderança e foco no cliente. Aprovado.,451
