id_candidatura,id_candidato,id_vaga,data_candidatura,origem,curriculo_texto,status_cand,experiencia_media_anos,contratado,tempo_candidatura
236,236,12,2024-03-16,Site,"Neurocientista com doutorado, especialista em processamento de sinais neurais e interfaces cérebro-computador.",contratado,12.0,1,515
237,237,8,2024-05-03,Indicação,"Consultor de Implantação de Software ERP, com experiência em SAP ou Oracle.",entrevista,9.0,0,467
238,238,3,2024-02-25,LinkedIn,Engenheiro de Confiabilidade de Software (SRE) com experiência em observabilidade e gestão de incidentes.,entrevista,4.5,0,535
239,239,9,2024-06-20,Site,Ethical Hacker com experiência em programas de Bug Bounty e análise de segurança de código-fonte.,recusado,6.0,0,419
240,240,5,2024-04-08,Indicação,"Analista de SEO com foco em SEO técnico, link building e otimização de conteúdo.",entrevista,5.0,0,492
241,241,6,2024-01-12,Catho,Técnico em Design de Interiores com experiência em projetos residenciais e comerciais.,triagem,3.0,0,579
242,242,1,2024-06-14,vagas.com,Sem resumo de currículo,triagem,0.0,0,425
243,243,12,2024-03-24,Site,"Antropólogo com doutorado, especialista em estudos de cultura organizacional e comportamento do consumidor.",contratado,11.0,1,507
244,244,8,2024-05-20,Indicação,Gerente de Contas Estratégicas (Key Account Manager) para o setor de bens de consumo.,entrevista,8.5,0,450
245,245,3,2024-02-18,LinkedIn,Desenvolvedor Web3 com experiência em Solidity e desenvolvimento de Smart Contracts na rede Ethereum.,entrevista,4.0,0,542
246,246,11,2024-06-07,Site,Mestre de Dados (Data Master) focado em garantir a integridade e o uso estratégico dos dados da empresa.,recusado,10.0,0,432
247,247,2,2024-04-17,Indicação,Arquiteto da Informação com experiência em organizar e estruturar conteúdo para grandes portais e intranets.,entrevista,5.5,0,483
248,248,6,2024-01-31,Catho,Técnico em Geoprocessamento com experiência em ArcGIS e QGIS.,triagem,2.0,0,560
249,249,1,2024-06-25,vagas.com,Em busca de recolocação profissional.,triagem,4.0,0,414
250,250,12,2024-03-02,Site,"Linguista Computacional com doutorado, especialista em Processamento de Linguagem Natural (PLN) e desenvolvimento de chatbots.",contratado,13.0,1,529
